,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2022,ALABAMA,"TUNA, BIGEYE",,,,Confidential,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,ALABAMA,"TUNA, BLACKFIN","101,464",46,"173,788",Public,Commercial,Thunnus atlanticus,172427,GULFFIN
2022,ALABAMA,"TUNA, LITTLE TUNNY","27,764",13,"23,709",Public,Commercial,Euthynnus alletteratus,172402,GULFFIN
2022,ALABAMA,"TUNA, YELLOWFIN",,,,Confidential,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,CALIFORNIA,"TUNA, ALBACORE","495,898",225,"976,577",Public,Commercial,Thunnus alalunga,172419,PACFIN
2022,CALIFORNIA,"TUNA, BIGEYE","509,879",231,"1,938,769",Public,Commercial,Thunnus obesus,172428,PACFIN
2022,CALIFORNIA,"TUNA, BLUEFIN PACIFIC","810,929",368,"2,215,658",Public,Commercial,Thunnus orientalis,172422,PACFIN
2022,CALIFORNIA,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,PACFIN
2022,CALIFORNIA,"TUNA, YELLOWFIN","1,075,991",488,"1,134,993",Public,Commercial,Thunnus albacares,172423,PACFIN
2022,CALIFORNIA,TUNAS **,,,,Confidential,Commercial,Thunnus,172418,PACFIN
2022,CONNECTICUT,"TUNA, ALBACORE",,,,Confidential,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2022,CONNECTICUT,"TUNA, BIGEYE","34,073",15,"249,830",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,CONNECTICUT,"TUNA, BLUEFIN",,,,Confidential,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,CONNECTICUT,"TUNA, LITTLE TUNNY",2,0,1,Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2022,CONNECTICUT,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
2022,CONNECTICUT,"TUNA, YELLOWFIN",,,,Confidential,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,FLORIDA-EAST,"TUNA, ALBACORE","112,001",51,"245,655",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2022,FLORIDA-EAST,"TUNA, BIGEYE","54,181",25,"217,156",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,FLORIDA-EAST,"TUNA, BLACKFIN","8,229",4,"12,944",Public,Commercial,Thunnus atlanticus,172427,ACCSP
2022,FLORIDA-EAST,"TUNA, BLUEFIN","10,380",5,"44,150",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,FLORIDA-EAST,"TUNA, LITTLE TUNNY","294,466",134,"211,220",Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2022,FLORIDA-EAST,"TUNA, SKIPJACK",216,0,436,Public,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
2022,FLORIDA-EAST,"TUNA, YELLOWFIN","104,857",48,"433,122",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,FLORIDA-WEST,"TUNA, ALBACORE",,,,Confidential,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2022,FLORIDA-WEST,"TUNA, BIGEYE","7,584",3,"34,037",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,FLORIDA-WEST,"TUNA, BLACKFIN","9,979",5,"17,452",Public,Commercial,Thunnus atlanticus,172427,ACCSP
2022,FLORIDA-WEST,"TUNA, BLUEFIN",,,,Confidential,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,FLORIDA-WEST,"TUNA, LITTLE TUNNY","55,033",25,"44,988",Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2022,FLORIDA-WEST,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
2022,FLORIDA-WEST,"TUNA, YELLOWFIN","233,399",106,"1,031,278",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,GEORGIA,"TUNA, LITTLE TUNNY",,,,Confidential,Commercial,Euthynnus alletteratus,172402,ACCSP
2022,HAWAII,"TUNA, ALBACORE","316,194",143,"654,842",Public,Commercial,Thunnus alalunga,172419,PIFSC
2022,HAWAII,"TUNA, BIGEYE","14,470,725","6,564","73,712,829",Public,Commercial,Thunnus obesus,172428,PIFSC
2022,HAWAII,"TUNA, BLUEFIN","5,055",2,"37,331",Public,Commercial,Thunnus thynnus,172421,PIFSC
2022,HAWAII,"TUNA, KAWAKAWA","1,385",1,"5,129",Public,Commercial,Euthynnus affinis,172403,PIFSC
2022,HAWAII,"TUNA, SKIPJACK","302,675",137,"863,315",Public,Commercial,Katsuwonus pelamis,172401,PIFSC
2022,HAWAII,"TUNA, YELLOWFIN","6,658,044","3,020","28,292,046",Public,Commercial,Thunnus albacares,172423,PIFSC
2022,LOUISIANA,"TUNA, ALBACORE",,,,Confidential,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2022,LOUISIANA,"TUNA, BIGEYE",,,,Confidential,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,LOUISIANA,"TUNA, BLACKFIN",733,0,582,Public,Commercial,Thunnus atlanticus,172427,GULFFIN
2022,LOUISIANA,"TUNA, BLUEFIN",,,,Confidential,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,LOUISIANA,"TUNA, LITTLE TUNNY","3,013",1,"2,974",Public,Commercial,Euthynnus alletteratus,172402,GULFFIN
2022,LOUISIANA,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
2022,LOUISIANA,"TUNA, YELLOWFIN",,,,Confidential,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,MAINE,"TUNA, BLUEFIN","364,259",165,"1,891,498",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,MARYLAND,"TUNA, ALBACORE",,,,Confidential,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2022,MARYLAND,"TUNA, BIGEYE","115,266",52,"766,686",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,MARYLAND,"TUNA, BLACKFIN",,,,Confidential,Commercial,Thunnus atlanticus,172427,ACCSP
2022,MARYLAND,"TUNA, BLUEFIN",,,,Confidential,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,MARYLAND,"TUNA, LITTLE TUNNY",,,,Confidential,Commercial,Euthynnus alletteratus,172402,ACCSP
2022,MARYLAND,"TUNA, YELLOWFIN","35,447",16,"113,832",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,MASSACHUSETTS,"TUNA, ALBACORE","10,654",5,"16,390",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2022,MASSACHUSETTS,"TUNA, BIGEYE","72,155",33,"447,656",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,MASSACHUSETTS,"TUNA, BLUEFIN","1,218,111",553,"6,288,194",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,MASSACHUSETTS,"TUNA, YELLOWFIN","120,711",55,"425,243",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,MISSISSIPPI,"TUNA, LITTLE TUNNY",,,,Confidential,Commercial,Euthynnus alletteratus,172402,GULFFIN
2022,NEW HAMPSHIRE,"TUNA, BLUEFIN","195,674",89,"993,041",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,NEW HAMPSHIRE,"TUNA, YELLOWFIN",,,,Confidential,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,NEW JERSEY,"TUNA, ALBACORE","38,063",17,"41,833",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2022,NEW JERSEY,"TUNA, BIGEYE","240,249",109,"1,633,631",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,NEW JERSEY,"TUNA, BLUEFIN","12,790",6,"48,075",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,NEW JERSEY,"TUNA, LITTLE TUNNY",565,0,727,Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2022,NEW JERSEY,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
2022,NEW JERSEY,"TUNA, YELLOWFIN","85,934",39,"275,632",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,NEW YORK,"TUNA, ALBACORE","1,505",1,"2,005",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2022,NEW YORK,"TUNA, BIGEYE","18,234",8,"75,237",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,NEW YORK,"TUNA, BLUEFIN","36,964",17,"105,806",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,NEW YORK,"TUNA, LITTLE TUNNY","1,671",1,"2,844",Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2022,NEW YORK,"TUNA, YELLOWFIN","24,318",11,"81,695",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,NORTH CAROLINA,"TUNA, ALBACORE",438,0,605,Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2022,NORTH CAROLINA,"TUNA, BIGEYE","649,445",295,"3,741,317",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,NORTH CAROLINA,"TUNA, BLACKFIN","20,017",9,"25,880",Public,Commercial,Thunnus atlanticus,172427,ACCSP
2022,NORTH CAROLINA,"TUNA, BLUEFIN","289,573",131,"1,801,781",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,NORTH CAROLINA,"TUNA, LITTLE TUNNY","147,065",67,"165,423",Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2022,NORTH CAROLINA,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
2022,NORTH CAROLINA,"TUNA, YELLOWFIN","545,295",247,"1,435,359",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,OREGON,"TUNA, ALBACORE","6,266,961","2,843","14,347,002",Public,Commercial,Thunnus alalunga,172419,PACFIN
2022,OREGON,"TUNA, BIGEYE",,,,Confidential,Commercial,Thunnus obesus,172428,PACFIN
2022,OREGON,"TUNA, BLUEFIN PACIFIC",,,,Confidential,Commercial,Thunnus orientalis,172422,PACFIN
2022,OREGON,"TUNA, YELLOWFIN",429,0,"2,060",Public,Commercial,Thunnus albacares,172423,PACFIN
2022,RHODE ISLAND,"TUNA, ALBACORE","10,867",5,"22,285",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2022,RHODE ISLAND,"TUNA, BIGEYE","186,479",85,"1,051,878",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,RHODE ISLAND,"TUNA, BLUEFIN","107,088",49,"341,638",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,RHODE ISLAND,"TUNA, LITTLE TUNNY","5,179",2,"6,827",Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2022,RHODE ISLAND,"TUNA, YELLOWFIN","177,774",81,"487,185",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,SOUTH CAROLINA,"TUNA, ALBACORE","98,055",44,"294,085",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2022,SOUTH CAROLINA,"TUNA, BIGEYE","20,646",9,"115,400",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,SOUTH CAROLINA,"TUNA, BLACKFIN","1,620",1,"3,598",Public,Commercial,Thunnus atlanticus,172427,ACCSP
2022,SOUTH CAROLINA,"TUNA, BLUEFIN","10,639",5,"51,403",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,SOUTH CAROLINA,"TUNA, LITTLE TUNNY","1,343",1,"1,294",Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2022,SOUTH CAROLINA,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
2022,SOUTH CAROLINA,"TUNA, YELLOWFIN","29,296",13,"134,747",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,TEXAS,"TUNA, BLACKFIN",,,,Confidential,Commercial,Thunnus atlanticus,172427,GULFFIN
2022,TEXAS,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
2022,TEXAS,"TUNA, YELLOWFIN",,,,Confidential,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,VIRGINIA,"TUNA, ALBACORE",,,,Confidential,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2022,VIRGINIA,"TUNA, BIGEYE","29,241",13,"140,745",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,VIRGINIA,"TUNA, BLUEFIN","91,977",42,"567,239",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2022,VIRGINIA,"TUNA, YELLOWFIN","7,960",4,"21,552",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,VIRGINIA,TUNAS **,,,,Confidential,Commercial,Thunnus,172418,ACCSP
2022,WASHINGTON,"TUNA, ALBACORE","9,101,268","4,128","19,049,142",Public,Commercial,Thunnus alalunga,172419,PACFIN
2021,ALABAMA,"TUNA, BLACKFIN","53,127",24,"68,960",Public,Commercial,Thunnus atlanticus,172427,GULFFIN
2021,ALABAMA,"TUNA, LITTLE TUNNY","55,665",25,"43,364",Public,Commercial,Euthynnus alletteratus,172402,GULFFIN
2021,ALABAMA,"TUNA, YELLOWFIN","2,704",1,"10,793",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2021,CALIFORNIA,"TUNA, ALBACORE","485,389",220,"839,137",Public,Commercial,Thunnus alalunga,172419,PACFIN
2021,CALIFORNIA,"TUNA, BIGEYE","893,489",405,"2,938,308",Public,Commercial,Thunnus obesus,172428,PACFIN
2021,CALIFORNIA,"TUNA, BLUEFIN PACIFIC","477,457",217,"1,767,053",Public,Commercial,Thunnus orientalis,172422,PACFIN
2021,CALIFORNIA,"TUNA, SKIPJACK","6,999",3,"7,327",Public,Commercial,Katsuwonus pelamis,172401,PACFIN
2021,CALIFORNIA,"TUNA, YELLOWFIN","116,500",53,"326,190",Public,Commercial,Thunnus albacares,172423,PACFIN
2021,CONNECTICUT,"TUNA, ALBACORE","2,570",1,"4,465",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2021,CONNECTICUT,"TUNA, BIGEYE","31,156",14,"210,926",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2021,CONNECTICUT,"TUNA, BLUEFIN",,,,Confidential,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2021,CONNECTICUT,"TUNA, LITTLE TUNNY",60,0,96,Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2021,CONNECTICUT,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
2021,CONNECTICUT,"TUNA, YELLOWFIN","1,532",1,"6,418",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2021,FLORIDA-EAST,"TUNA, ALBACORE","174,169",79,"373,996",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2021,FLORIDA-EAST,"TUNA, BIGEYE","55,185",25,"233,272",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2021,FLORIDA-EAST,"TUNA, BLACKFIN","9,325",4,"15,869",Public,Commercial,Thunnus atlanticus,172427,ACCSP
2021,FLORIDA-EAST,"TUNA, BLUEFIN","36,111",16,"144,726",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2021,FLORIDA-EAST,"TUNA, LITTLE TUNNY","308,862",140,"166,699",Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2021,FLORIDA-EAST,"TUNA, SKIPJACK",326,0,519,Public,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
2021,FLORIDA-EAST,"TUNA, YELLOWFIN","104,734",48,"367,436",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2021,FLORIDA-WEST,"TUNA, ALBACORE",,,,Confidential,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2021,FLORIDA-WEST,"TUNA, BIGEYE",,,,Confidential,Commercial,Thunnus obesus,172428,EXCEPTIONS
2021,FLORIDA-WEST,"TUNA, BLACKFIN","12,742",6,"21,535",Public,Commercial,Thunnus atlanticus,172427,ACCSP
2021,FLORIDA-WEST,"TUNA, BLUEFIN",,,,Confidential,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2021,FLORIDA-WEST,"TUNA, LITTLE TUNNY","27,189",12,"33,603",Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2021,FLORIDA-WEST,"TUNA, YELLOWFIN","112,550",51,"497,254",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2021,GEORGIA,"TUNA, BLACKFIN",,,,Confidential,Commercial,Thunnus atlanticus,172427,ACCSP
2021,HAWAII,"TUNA, ALBACORE","387,585",176,"625,633",Public,Commercial,Thunnus alalunga,172419,PIFSC
2021,HAWAII,"TUNA, BIGEYE","15,174,721","6,883","74,616,271",Public,Commercial,Thunnus obesus,172428,PIFSC
2021,HAWAII,"TUNA, BLUEFIN","4,392",2,"23,104",Public,Commercial,Thunnus thynnus,172421,PIFSC
2021,HAWAII,"TUNA, KAWAKAWA","1,932",1,"5,923",Public,Commercial,Euthynnus affinis,172403,PIFSC
2021,HAWAII,"TUNA, SKIPJACK","281,463",128,"561,366",Public,Commercial,Katsuwonus pelamis,172401,PIFSC
2021,HAWAII,"TUNA, YELLOWFIN","6,660,677","3,021","27,473,589",Public,Commercial,Thunnus albacares,172423,PIFSC
2021,LOUISIANA,"TUNA, ALBACORE",,,,Confidential,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2021,LOUISIANA,"TUNA, BIGEYE",,,,Confidential,Commercial,Thunnus obesus,172428,EXCEPTIONS
2021,LOUISIANA,"TUNA, BLACKFIN",,,,Confidential,Commercial,Thunnus atlanticus,172427,GULFFIN
2021,LOUISIANA,"TUNA, BLUEFIN",,,,Confidential,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2021,LOUISIANA,"TUNA, LITTLE TUNNY",467,0,390,Public,Commercial,Euthynnus alletteratus,172402,GULFFIN
2021,LOUISIANA,"TUNA, YELLOWFIN","238,552",108,"1,017,083",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2021,MAINE,"TUNA, BLUEFIN","411,136",186,"2,280,147",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2021,MARYLAND,"TUNA, ALBACORE","3,713",2,"6,080",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2021,MARYLAND,"TUNA, BIGEYE","110,509",50,"701,739",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2021,MARYLAND,"TUNA, BLUEFIN",,,,Confidential,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2021,MARYLAND,"TUNA, YELLOWFIN","44,095",20,"137,156",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2021,MASSACHUSETTS,"TUNA, ALBACORE","35,018",16,"54,226",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2021,MASSACHUSETTS,"TUNA, BIGEYE","176,680",80,"994,927",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2021,MASSACHUSETTS,"TUNA, BLUEFIN","1,113,699",505,"6,207,471",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2021,MASSACHUSETTS,"TUNA, YELLOWFIN","90,802",41,"382,574",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2021,MISSISSIPPI,"TUNA, LITTLE TUNNY",,,,Confidential,Commercial,Euthynnus alletteratus,172402,GULFFIN
2021,NEW HAMPSHIRE,"TUNA, BLUEFIN","162,492",74,"858,266",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2021,NEW HAMPSHIRE,"TUNA, YELLOWFIN",,,,Confidential,Commercial,Thunnus albacares,172423,EXCEPTIONS
2021,NEW JERSEY,"TUNA, ALBACORE","52,008",24,"59,137",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2021,NEW JERSEY,"TUNA, BIGEYE","252,664",115,"1,724,651",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2021,NEW JERSEY,"TUNA, BLUEFIN","30,871",14,"139,335",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2021,NEW JERSEY,"TUNA, LITTLE TUNNY","2,390",1,"3,152",Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2021,NEW JERSEY,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
2021,NEW JERSEY,"TUNA, YELLOWFIN","121,713",55,"436,847",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2021,NEW YORK,"TUNA, ALBACORE","14,182",6,"22,991",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2021,NEW YORK,"TUNA, BIGEYE","64,941",29,"393,264",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2021,NEW YORK,"TUNA, BLUEFIN","11,129",5,"31,398",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2021,NEW YORK,"TUNA, LITTLE TUNNY","1,477",1,"2,364",Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2021,NEW YORK,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
2021,NEW YORK,"TUNA, YELLOWFIN","59,442",27,"222,430",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2021,NORTH CAROLINA,"TUNA, ALBACORE",463,0,583,Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2021,NORTH CAROLINA,"TUNA, BIGEYE","512,358",232,"2,980,314",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2021,NORTH CAROLINA,"TUNA, BLACKFIN","30,270",14,"26,393",Public,Commercial,Thunnus atlanticus,172427,ACCSP
2021,NORTH CAROLINA,"TUNA, BLUEFIN","308,273",140,"1,580,619",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2021,NORTH CAROLINA,"TUNA, LITTLE TUNNY","105,306",48,"106,957",Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2021,NORTH CAROLINA,"TUNA, SKIPJACK",453,0,521,Public,Commercial,Katsuwonus pelamis,172401,EXCEPTIONS
2021,NORTH CAROLINA,"TUNA, YELLOWFIN","480,082",218,"1,653,205",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2021,OREGON,"TUNA, ALBACORE","3,222,545","1,462","6,615,951",Public,Commercial,Thunnus alalunga,172419,PACFIN
2021,OREGON,"TUNA, BIGEYE",,,,Confidential,Commercial,Thunnus obesus,172428,PACFIN
2021,OREGON,"TUNA, BLUEFIN PACIFIC",241,0,726,Public,Commercial,Thunnus orientalis,172422,PACFIN
2021,OREGON,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,PACFIN
2021,RHODE ISLAND,"TUNA, ALBACORE","46,985",21,"62,823",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2021,RHODE ISLAND,"TUNA, BIGEYE","242,661",110,"1,388,310",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2021,RHODE ISLAND,"TUNA, BLACKFIN",,,,Confidential,Commercial,Thunnus atlanticus,172427,ACCSP
2021,RHODE ISLAND,"TUNA, BLUEFIN","67,490",31,"356,760",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2021,RHODE ISLAND,"TUNA, LITTLE TUNNY","12,799",6,"12,124",Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2021,RHODE ISLAND,"TUNA, YELLOWFIN","120,444",55,"423,205",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2021,SOUTH CAROLINA,"TUNA, ALBACORE","161,765",73,"412,990",Public,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2021,SOUTH CAROLINA,"TUNA, BIGEYE","22,324",10,"116,148",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2021,SOUTH CAROLINA,"TUNA, BLACKFIN","1,301",1,"3,003",Public,Commercial,Thunnus atlanticus,172427,ACCSP
2021,SOUTH CAROLINA,"TUNA, BLUEFIN","4,210",2,"8,644",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2021,SOUTH CAROLINA,"TUNA, LITTLE TUNNY","4,311",2,"3,119",Public,Commercial,Euthynnus alletteratus,172402,ACCSP
2021,SOUTH CAROLINA,"TUNA, YELLOWFIN","36,986",17,"177,532",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2021,TEXAS,"TUNA, BLACKFIN",,,,Confidential,Commercial,Thunnus atlanticus,172427,GULFFIN
2021,VIRGINIA,"TUNA, ALBACORE",,,,Confidential,Commercial,Thunnus alalunga,172419,EXCEPTIONS
2021,VIRGINIA,"TUNA, BIGEYE","22,558",10,"103,065",Public,Commercial,Thunnus obesus,172428,EXCEPTIONS
2021,VIRGINIA,"TUNA, BLACKFIN",,,,Confidential,Commercial,Thunnus atlanticus,172427,ACCSP
2021,VIRGINIA,"TUNA, BLUEFIN","23,449",11,"99,888",Public,Commercial,Thunnus thynnus,172421,EXCEPTIONS
2021,VIRGINIA,"TUNA, LITTLE TUNNY",,,,Confidential,Commercial,Euthynnus alletteratus,172402,ACCSP
2021,VIRGINIA,"TUNA, YELLOWFIN","20,978",10,"65,907",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2021,WASHINGTON,"TUNA, ALBACORE","4,210,968","1,910","8,508,934",Public,Commercial,Thunnus alalunga,172419,PACFIN
2021,WASHINGTON,"TUNA, BLUEFIN PACIFIC",,,,Confidential,Commercial,Thunnus orientalis,172422,PACFIN
2021,WASHINGTON,"TUNA, SKIPJACK",,,,Confidential,Commercial,Katsuwonus pelamis,172401,PACFIN
2020,ALABAMA,"TUNA, BIGEYE",,,,Confidential,Commercial,Thunnus obesus,172428,EXCEPTIONS
